Matrix dimension = 800

Threads: 1	 Average time: 100.0 milliseconds
Threads: 2	 Average time: 56.8 milliseconds
Threads: 3	 Average time: 37.7 milliseconds
Threads: 4	 Average time: 35.6 milliseconds
Threads: 5	 Average time: 30.3 milliseconds
Threads: 6	 Average time: 30.4 milliseconds
Threads: 7	 Average time: 26.5 milliseconds
Threads: 8	 Average time: 26.0 milliseconds
Threads: 9	 Average time: 25.7 milliseconds
Threads: 10	 Average time: 25.2 milliseconds
Threads: 11	 Average time: 24.8 milliseconds
Threads: 12	 Average time: 25.0 milliseconds
Threads: 13	 Average time: 25.8 milliseconds
Threads: 14	 Average time: 25.3 milliseconds
Threads: 15	 Average time: 24.3 milliseconds
Threads: 16	 Average time: 23.9 milliseconds
Threads: 17	 Average time: 24.4 milliseconds
Threads: 18	 Average time: 25.2 milliseconds
Threads: 19	 Average time: 25.2 milliseconds
Threads: 20	 Average time: 26.9 milliseconds
Threads: 21	 Average time: 25.9 milliseconds
Threads: 22	 Average time: 28.5 milliseconds
Threads: 23	 Average time: 25.4 milliseconds
Threads: 24	 Average time: 25.6 milliseconds
Threads: 25	 Average time: 27.0 milliseconds
Threads: 26	 Average time: 25.9 milliseconds
Threads: 27	 Average time: 26.3 milliseconds
Threads: 28	 Average time: 25.6 milliseconds
Threads: 29	 Average time: 28.8 milliseconds
Threads: 30	 Average time: 28.2 milliseconds
Threads: 31	 Average time: 28.7 milliseconds
Threads: 32	 Average time: 28.6 milliseconds
Threads: 33	 Average time: 32.8 milliseconds
Threads: 34	 Average time: 31.3 milliseconds
Threads: 35	 Average time: 31.3 milliseconds
Threads: 36	 Average time: 33.8 milliseconds
Threads: 37	 Average time: 33.7 milliseconds
Threads: 38	 Average time: 41.4 milliseconds
Threads: 39	 Average time: 34.4 milliseconds
Threads: 40	 Average time: 39.0 milliseconds
Threads: 41	 Average time: 35.4 milliseconds
Threads: 42	 Average time: 39.9 milliseconds
Threads: 43	 Average time: 35.2 milliseconds
Threads: 44	 Average time: 37.9 milliseconds
Threads: 45	 Average time: 38.2 milliseconds
Threads: 46	 Average time: 46.9 milliseconds
Threads: 47	 Average time: 47.8 milliseconds
Threads: 48	 Average time: 39.4 milliseconds
Threads: 49	 Average time: 46.2 milliseconds
Threads: 50	 Average time: 52.1 milliseconds

