Matrix dimension = 1000

Threads: 1	 Average time: 255.2 milliseconds
Threads: 2	 Average time: 103.2 milliseconds
Threads: 3	 Average time: 75.3 milliseconds
Threads: 4	 Average time: 68.2 milliseconds
Threads: 5	 Average time: 60.8 milliseconds
Threads: 6	 Average time: 58.8 milliseconds
Threads: 7	 Average time: 57.7 milliseconds
Threads: 8	 Average time: 56.9 milliseconds
Threads: 9	 Average time: 50.2 milliseconds
Threads: 10	 Average time: 47.5 milliseconds
Threads: 11	 Average time: 51.4 milliseconds
Threads: 12	 Average time: 45.1 milliseconds
Threads: 13	 Average time: 45.1 milliseconds
Threads: 14	 Average time: 46.2 milliseconds
Threads: 15	 Average time: 45.7 milliseconds
Threads: 16	 Average time: 44.2 milliseconds
Threads: 17	 Average time: 46.1 milliseconds
Threads: 18	 Average time: 44.7 milliseconds
Threads: 19	 Average time: 44.8 milliseconds
Threads: 20	 Average time: 46.7 milliseconds
Threads: 21	 Average time: 46.9 milliseconds
Threads: 22	 Average time: 47.3 milliseconds
Threads: 23	 Average time: 50.0 milliseconds
Threads: 24	 Average time: 50.9 milliseconds
Threads: 25	 Average time: 47.7 milliseconds
Threads: 26	 Average time: 49.2 milliseconds
Threads: 27	 Average time: 57.7 milliseconds
Threads: 28	 Average time: 52.1 milliseconds
Threads: 29	 Average time: 52.3 milliseconds
Threads: 30	 Average time: 51.8 milliseconds
Threads: 31	 Average time: 52.0 milliseconds
Threads: 32	 Average time: 52.1 milliseconds
Threads: 33	 Average time: 56.3 milliseconds
Threads: 34	 Average time: 54.1 milliseconds
Threads: 35	 Average time: 55.6 milliseconds
Threads: 36	 Average time: 52.2 milliseconds
Threads: 37	 Average time: 57.5 milliseconds
Threads: 38	 Average time: 60.6 milliseconds
Threads: 39	 Average time: 63.6 milliseconds
Threads: 40	 Average time: 59.7 milliseconds
Threads: 41	 Average time: 60.1 milliseconds
Threads: 42	 Average time: 64.7 milliseconds
Threads: 43	 Average time: 73.9 milliseconds
Threads: 44	 Average time: 74.3 milliseconds
Threads: 45	 Average time: 65.9 milliseconds
Threads: 46	 Average time: 67.9 milliseconds
Threads: 47	 Average time: 69.9 milliseconds
Threads: 48	 Average time: 69.3 milliseconds
Threads: 49	 Average time: 70.5 milliseconds
Threads: 50	 Average time: 80.0 milliseconds


